Patv,Wspd,Ndir,Pab1,Pab2,Pab3,Target
1518.38,11.12,-17.47,1.02,1.02,1.02,1518.38
1442.49,10.45,-18.44,1.01,1.01,1.01,1442.49
1292.15,9.61,-17.15,1,1,1,1292.15
1225.7,9.17,-12.52,1,1,1,1225.7
969.62,7.96,-6.19,1,1,1,969.62
1043.58,8.71,14.61,1,1,1,1043.58
945.49,8.22,12.05,1,1,1,945.49
906.12,8.08,24.38,1,1,1,906.12
782.76,7.45,30.31,1,1,1,782.76
628.13,6.91,32.56,1.11,1.11,1.11,628.13
759.47,7.25,60.11,1,1,1,759.47
846.32,7.65,39.77,1,1,1,846.32
818.71,7.66,45.1,1,1,1,818.71
779.87,7.55,34.27,1,1,1,779.87
576.74,6.19,36.55,1,1,1,576.74
810.4,7.55,57.58,1,1,1,810.4
700.03,6.99,47.39,1,1,1,700.03
571.61,6.32,66.73,1,1,0.99,571.61
444.5,5.83,50.64,0.99,0.99,0.99,444.5
457.33,6.32,47.97,1.12,1.12,1.12,457.33
474.09,5.9,56.39,1,1,1,474.09
52.54,5.61,51.68,1.67,1.67,1.67,52.54
-0.31,5.72,67.22,1.86,1.86,1.86,-0.31
-0.3,5.72,81.45,1.9,1.9,1.9,-0.3
-0.3,3.97,81.45,1.9,1.9,1.9,-0.3
-0.3,3.25,81.45,1.9,1.9,1.9,-0.3
-0.3,6.34,81.45,1.9,1.9,1.9,-0.3
-0.3,4.82,81.45,1.9,1.9,1.9,-0.3
-0.3,3.77,81.45,1.9,1.9,1.9,-0.3
-0.3,5.83,81.45,1.9,1.9,1.9,-0.3
0,0,76.03,0.93,0.93,0.93,0
0,0,76.94,0.94,0.94,0.94,0
0,4.82,81.45,1.88,1.88,1.88,0
0,2.69,81.45,1.75,1.75,1.75,0
0,6.19,81.45,1.9,1.9,1.9,0
0,4.17,79.33,1.75,1.75,1.75,0
0,4.2,43.89,1.9,1.9,1.9,0
264.2,4.89,26.82,1.07,1.07,1.07,264.2
305.86,4.28,63.55,1,1,1,305.86
326.5,5.34,47.41,0.99,0.99,0.99,326.5
55.45,2.19,9.03,0.99,0.99,0.99,55.45
1.78,4.03,52.05,1.73,1.73,1.73,1.78
182.95,4.24,61.25,0.99,0.99,0.99,182.95
118.31,3.18,45.3,0.99,0.99,0.99,118.31
171.35,4.13,81.45,0.99,0.99,0.99,171.35
203.6,3.82,69.99,0.99,0.99,0.99,203.6
135.88,3.3,69.1,0.99,0.99,0.99,135.88
69.04,2.67,82.54,1.01,1.01,1.01,69.04
237.39,4.48,80.04,0.99,0.99,0.99,237.39
227.5,4.13,92.21,0.99,0.99,0.99,227.5
183.49,3.75,95.67,0.99,0.99,0.99,183.49
158.83,3.88,102.59,0.99,0.99,0.99,158.83
186.83,3.83,85.5,0.99,0.99,0.99,186.83
274.87,4.85,75.65,0.99,0.99,0.99,274.87
172.93,3.6,82.32,0.99,0.99,0.99,172.93
223.51,4.4,83.27,0.99,0.99,0.99,223.51
268.56,4.81,64.06,0.99,0.99,0.99,268.56
356.78,5.43,61.94,0.99,0.99,0.99,356.78
412.54,5.98,63.29,0.99,0.99,0.99,412.54
1216.61,10.89,29.06,1.03,1.03,1.03,1216.61
1510.1,12.12,5.22,1.05,1.05,1.05,1510.1
1480.48,10.93,6.99,1.02,1.02,1.02,1480.48
1516.21,11.77,12.88,1.05,1.05,1.05,1516.21
1434.8,10.75,12.88,1.02,1.02,1.02,1434.8
1502.37,11.22,12.12,1.03,1.03,1.03,1502.37
1445.32,10.68,8.28,1.01,1.01,1.01,1445.32
1226.43,9.41,10.71,1,1,1,1226.43
1450.41,11.45,-6.69,1.05,1.05,1.05,1450.41
1544.78,12.24,-5.22,1.07,1.07,1.07,1544.78
1546.57,12.45,-5.2,1.07,1.07,1.07,1546.57
1549.5,12.77,-5.19,1.08,1.08,1.08,1549.5
1549.71,12.89,-5.19,1.08,1.08,1.08,1549.71
1549.84,13.49,-5.19,1.1,1.1,1.1,1549.84
1549.39,13.64,-5.19,1.1,1.1,1.1,1549.39
1549.29,12.73,-9.36,1.08,1.08,1.08,1549.29
1528.07,10.99,-15.86,1.03,1.03,1.03,1528.07
1421.04,10.14,-15.86,1.01,1.01,1.01,1421.04
1430.89,10.17,-15.86,1,1,1,1430.89
1330.24,9.95,-9.44,1.02,1.02,1.02,1330.24
1550.74,12.2,-8.17,1.08,1.08,1.08,1550.74
1549.66,12.66,-8.17,1.08,1.08,1.08,1549.66
1549.64,12.58,-8.17,1.08,1.08,1.08,1549.64
1361.95,9.95,-8.17,1.01,1.01,1.01,1361.95
1468.21,10.64,-9.66,1.01,1.01,1.01,1468.21
718.12,7,-2.77,1,1,1,718.12
442.15,5.87,-9.17,0.99,0.99,0.99,442.15
196.04,4,-8.2,0.99,0.99,0.99,196.04
234.35,4.03,2.82,0.99,0.99,0.99,234.35
124.94,3.46,38.08,0.99,0.99,0.99,124.94
179.06,3.96,22.25,0.99,0.99,0.99,179.06
253.25,4.63,38.62,0.99,0.99,0.99,253.25
347,5.4,46.95,0.99,0.99,0.99,347
249.3,4.73,40.33,0.99,0.99,0.99,249.3
205.12,4.43,47.41,0.99,0.99,0.99,205.12
254.04,4.85,43.08,0.99,0.99,0.99,254.04
323.51,5.14,51.45,1,1,1,323.51
141.3,3.7,41.87,0.99,0.99,0.99,141.3
264.43,4.87,42.32,0.99,0.99,0.99,264.43
376.04,5.66,42.99,0.99,0.99,0.99,376.04
351.48,5.52,39.69,0.99,0.99,0.99,351.48
399.43,5.74,39.86,0.99,0.99,0.99,399.43
406.87,5.69,43.96,0.99,0.99,0.99,406.87
367.38,5.62,47.59,0.99,0.99,0.99,367.38
376.7,5.9,51.44,0.99,0.99,0.99,376.7
388.46,5.86,60.38,0.99,0.99,0.99,388.46
221.39,4.17,73.79,0.99,0.99,0.99,221.39
1014.57,8.79,57.58,1,1,1,1014.57
1178.79,9.46,54.6,1,1,1,1178.79
1001.72,8.85,57.05,1,1,1,1001.72
550.82,6.87,58.68,1,1,1,550.82
364.21,5.7,60.2,0.99,0.99,0.99,364.21
607.99,6.96,53.52,1,1,1,607.99
628.92,7.08,53.05,1,1,1,628.92
690.13,7.31,45.93,1,1,1,690.13
984.27,8.62,53.38,1,1,1,984.27
1141.81,9.29,47.76,1,1,1,1141.81
909.28,8.16,45.93,1,1,1,909.28
665.95,7.11,45.93,1,1,1,665.95
1101.66,8.92,49.28,1,1,1,1101.66
1221.32,9.43,53.52,1,1,1,1221.32
991.42,8.37,53.52,1,1,1,991.42
890.14,8.09,53.52,1,1,1,890.14
669.19,7.13,53.52,1,1,1,669.19
544.97,6.55,53.52,1,1,1,544.97
528.78,6.53,48.36,1,1,1,528.78
510.23,6.41,40.26,1,1,1,510.23
575.25,6.87,38.37,1,1,1,575.25
668.75,7.36,38.37,1,1,1,668.75
599.83,6.99,38.36,1,1,1,599.83
628.76,7,38.34,1,1,1,628.76
607.04,7.02,45.79,1,1,1,607.04
459.41,6.26,45.93,1,1,1,459.41
479.75,6.17,45.93,1,1,1,479.75
588.23,6.74,43.31,1,1,1,588.23
508.4,6.25,38.37,1,1,1,508.4
415.24,5.67,42.65,0.99,0.99,0.99,415.24
520.28,6.25,45.93,1,1,1,520.28
739.19,7.29,45.93,1,1,1,739.19
780.93,7.45,44.16,1,1,1,780.93
503.57,6.02,47.31,1,1,1,503.57
413.41,5.72,51.96,0.99,0.99,0.99,413.41
681.11,6.92,53.52,1,1,1,681.11
585.26,6.63,54.09,1,1,1,585.26
586.23,6.58,65.81,1,1,1,586.23
544.03,6.32,58.67,1,1,1,544.03
593.99,6.68,56.54,1,1,1,593.99
525.69,6.34,61.4,1,1,1,525.69
591.37,6.61,60.75,1,1,1,591.37
444.78,5.84,53.14,0.99,0.99,0.99,444.78
403.78,5.69,36.34,0.99,0.99,0.99,403.78
610.56,6.65,42.34,1,1,1,610.56
679.71,6.89,42.26,1,1,1,679.71
595.79,6.57,46.13,1,1,1,595.79
324.17,4.78,33.08,0.99,0.99,0.99,324.17
521.14,6.11,47.49,0.99,0.99,0.99,521.14
695.46,6.99,60.02,1,1,1,695.46
626.66,6.62,44.28,1,1,1,626.66
336.53,5.15,33.17,0.99,0.99,0.99,336.53
496.99,5.96,57.65,1,1,1,496.99
454.79,5.7,61.12,1,1,1,454.79
366.22,5.12,45.71,0.99,0.99,0.99,366.22
356.94,5.14,65.57,0.99,0.99,0.99,356.94
359.28,5.09,62.63,0.99,0.99,0.99,359.28
242.12,4.25,67.36,0.99,0.99,0.99,242.12
334.4,4.85,65.78,0.99,0.99,0.99,334.4
370,5.21,54.63,0.99,0.99,0.99,370
235.8,4.49,45.09,0.99,0.99,0.99,235.8
199.23,4.02,86.02,0.99,0.99,0.99,199.23
530.77,6.15,63.97,1,1,1,530.77
194.12,3.6,65.05,0.99,0.99,0.99,194.12
173.6,3.7,73.78,0.99,0.99,0.99,173.6
254.27,5.14,78.98,1.02,1.02,1.02,254.27
119.92,4.47,53.49,1.25,1.25,1.25,119.92
529.58,6.3,74.85,1,1,1,529.58
222.68,4.19,58.22,0.99,0.99,0.99,222.68
117.74,2.99,47.02,0.99,0.99,0.99,117.74
143.08,3.81,69.86,1.01,1.01,1.01,143.08
177.29,4,72.93,0.99,0.99,0.99,177.29
141.13,3.18,59.83,0.99,0.99,0.99,141.13
202.17,3.89,94.17,0.99,0.99,0.99,202.17
378.31,5.32,64.24,0.99,0.99,0.99,378.31
245.39,4.39,75.21,0.99,0.99,0.99,245.39
359.13,5.19,73.62,0.99,0.99,0.99,359.13
136.85,3.15,66.15,0.99,0.99,0.99,136.85
186.49,3.9,106.05,0.99,0.99,0.99,186.49
310.83,4.63,94.6,0.99,0.99,0.99,310.83
218.91,4.2,95.64,0.99,0.99,0.99,218.91
272.04,4.64,110.16,0.99,0.99,0.99,272.04
247.88,4.74,89.1,0.99,0.99,0.99,247.88
297.63,4.59,99.99,0.99,0.99,0.99,297.63
328.26,5.17,94.87,0.99,0.99,0.99,328.26
214.36,4.39,99.25,0.99,0.99,0.99,214.36
175.94,3.95,88.82,0.99,0.99,0.99,175.94
173.43,3.62,81.61,0.99,0.99,0.99,173.43
225.84,4.37,101.33,0.99,0.99,0.99,225.84
149.08,3.28,82.38,0.99,0.99,0.99,149.08
181.18,3.88,95.69,0.99,0.99,0.99,181.18
121.01,3.04,93.24,0.99,0.99,0.99,121.01
164.86,3.78,93.95,0.99,0.99,0.99,164.86
205.14,4.05,89.75,0.99,0.99,0.99,205.14
240.6,4.4,94.76,0.99,0.99,0.99,240.6
163.27,3.65,96.54,0.99,0.99,0.99,163.27
145.8,3.59,97.56,0.99,0.99,0.99,145.8
114.33,3.11,101.84,0.99,0.99,0.99,114.33
81.1,2.77,104.53,0.99,0.99,0.99,81.1
100.15,3.16,97.07,0.99,0.99,0.99,100.15
52.99,2.32,97.07,0.99,0.99,0.99,52.99
48.95,2.21,97.07,0.99,0.99,0.99,48.95
-1.29,1.21,87.68,1.57,1.57,1.57,-1.29
0,1.36,84.49,1.9,1.9,1.9,0
21.09,3.72,77.5,1.73,1.73,1.73,21.09
275.76,5.07,69.88,0.99,0.99,0.99,275.76
826.09,7.87,48.71,1,1,1,826.09
1299.46,9.69,33.01,1,1,1,1299.46
1513.79,10.98,30.34,1.03,1.03,1.03,1513.79
1463.25,10.63,28.61,1.01,1.01,1.01,1463.25
1433.66,10.22,16.9,1,1,1,1433.66
1357.32,9.84,12.06,1,1,1,1357.32
1524.53,11,7.46,1.03,1.03,1.03,1524.53
1518.35,10.89,7.45,1.02,1.02,1.02,1518.35
1549.98,11.58,10.8,1.05,1.05,1.05,1549.98
1545.09,11.49,15.04,1.04,1.04,1.04,1545.09
1516.64,10.82,7.52,1.01,1.01,1.01,1516.64
1543.12,11.37,7.49,1.04,1.04,1.04,1543.12
1549.74,11.98,7.44,1.07,1.07,1.07,1549.74
1549.64,11.8,7.42,1.06,1.06,1.06,1549.64
1549.35,11.76,7.42,1.06,1.06,1.06,1549.35
1549.45,11.45,7.42,1.05,1.05,1.05,1549.45
1523.67,10.93,7.42,1.03,1.03,1.03,1523.67
1499.01,10.69,7.42,1.01,1.01,1.01,1499.01
1543.64,11.54,5.63,1.05,1.05,1.05,1543.64
1504.23,10.63,-0.27,1.02,1.02,1.02,1504.23
1500.45,10.81,-0.27,1.01,1.01,1.01,1500.45
1550.17,11.46,5.03,1.05,1.05,1.05,1550.17
1549.82,11.67,7.29,1.05,1.05,1.05,1549.82
1549.65,11.46,7.29,1.05,1.05,1.05,1549.65
1549.37,11.51,7.32,1.05,1.05,1.05,1549.37
1489.51,10.9,7.32,1.02,1.02,1.02,1489.51
1502.11,11.21,9.75,1.03,1.03,1.03,1502.11
1236.42,9.26,15.33,1,1,1,1236.42
500.07,6.08,55.65,1,1,1,500.07
729.52,7.31,52.45,1,1,1,729.52
884.11,8.13,63.48,1,1,1,884.11
809.43,7.8,54.62,1,1,1,809.43
1033.76,8.8,59.89,1,1,1,1033.76
1113.94,9.07,57.18,1,1,1,1113.94
944.71,8.4,51.12,1,1,1,944.71
1058.26,8.68,49.49,1,1,1,1058.26
1140.5,8.84,49.47,1,1,1,1140.5
1295.04,9.61,41.94,1.01,1.01,1.01,1295.04
1550.02,12.03,40.35,1.06,1.06,1.06,1550.02
1528.44,11.46,31.33,1.04,1.04,1.04,1528.44
1471.48,10.63,19.7,1.03,1.03,1.03,1471.48
1549.59,11.3,18.22,1.05,1.05,1.05,1549.59
1549.61,11.12,11.27,1.04,1.04,1.04,1549.61
1507.93,10.46,11.25,1.02,1.02,1.02,1507.93
1529.49,10.77,11.22,1.02,1.02,1.02,1529.49
1549.55,11.59,4.35,1.06,1.06,1.06,1549.55
1549.43,11.86,5.52,1.07,1.07,1.07,1549.43
1549.52,11.45,11.22,1.06,1.06,1.06,1549.52
1545.78,11.27,11.22,1.05,1.05,1.05,1545.78
1539.29,10.96,8.44,1.04,1.04,1.04,1539.29
1537.49,10.78,9.2,1.03,1.03,1.03,1537.49
1545.07,11.05,11.29,1.04,1.04,1.04,1545.07
1549.08,11.3,11.32,1.05,1.05,1.05,1549.08
1524.64,10.69,11.32,1.03,1.03,1.03,1524.64
1501.81,11.26,11.32,1.05,1.05,1.05,1501.81
1517.88,10.84,11.32,1.03,1.03,1.03,1517.88
1508.74,10.57,11.32,1.02,1.02,1.02,1508.74
1447.87,10.26,11.7,1.01,1.01,1.01,1447.87
1470.05,10.39,18.96,1.01,1.01,1.01,1470.05
1525.7,11.57,23.78,1.05,1.05,1.05,1525.7
1549.72,12.56,26.67,1.08,1.08,1.08,1549.72
1549.49,12.47,26.67,1.08,1.08,1.08,1549.49
1542.6,12.03,26.67,1.07,1.07,1.07,1542.6
1536.99,11.5,30,1.06,1.06,1.06,1536.99
1507.73,11.02,30.53,1.04,1.04,1.04,1507.73
1507.68,11.11,34.7,1.04,1.04,1.04,1507.68
1529.69,11.09,34.71,1.04,1.04,1.04,1529.69
1473.63,10.42,34.71,1.02,1.02,1.02,1473.63
1522.32,10.74,34.71,1.03,1.03,1.03,1522.32
1461.12,10.27,34.71,1.02,1.02,1.02,1461.12
1345.22,9.46,34.71,1,1,1,1345.22
1436.2,10.03,34.71,1.01,1.01,1.01,1436.2
1419.69,10.09,34.71,1.01,1.01,1.01,1419.69
1481.26,10.36,34.71,1.02,1.02,1.02,1481.26
1491.6,10.55,34.71,1.02,1.02,1.02,1491.6
1425.98,10.02,39.77,1.01,1.01,1.01,1425.98
1412.74,9.93,36.21,1.01,1.01,1.01,1412.74
1433.12,10.06,30.27,1,1,1,1433.12
1471.25,10.44,40.26,1.01,1.01,1.01,1471.25
1497.17,10.75,31.96,1.03,1.03,1.03,1497.17
1473.44,10.3,34.5,1.01,1.01,1.01,1473.44
1541.39,11.37,42.37,1.04,1.04,1.04,1541.39
1506.64,10.55,38.07,1.02,1.02,1.02,1506.64
1467.21,10.95,34.86,1.04,1.04,1.04,1467.21
1519.19,11.59,34.84,1.05,1.05,1.05,1519.19
1485.11,10.98,34.84,1.04,1.04,1.04,1485.11
1519.26,11.88,34.84,1.07,1.07,1.07,1519.26
1512.91,11.97,34.84,1.07,1.07,1.07,1512.91
1513.59,11.9,34.84,1.07,1.07,1.07,1513.59
1532.98,12.25,41.4,1.07,1.07,1.07,1532.98
1533.87,12.31,41.54,1.07,1.07,1.07,1533.87
1542.67,12.4,40.91,1.07,1.07,1.07,1542.67
1537.7,12.06,38.7,1.06,1.06,1.06,1537.7
1531.4,11.76,44.8,1.06,1.06,1.06,1531.4
1545.96,12.11,45.68,1.07,1.07,1.07,1545.96
1527.88,11.78,41.08,1.05,1.05,1.05,1527.88
1526.19,11.73,42.71,1.05,1.05,1.05,1526.19
1513.23,11.31,50.59,1.04,1.04,1.04,1513.23
1532.79,11.95,49.71,1.06,1.06,1.06,1532.79
1472.91,11.05,50.81,1.03,1.03,1.03,1472.91
1476.78,11.24,46.87,1.04,1.04,1.04,1476.78
1467.35,11.28,49.18,1.03,1.03,1.03,1467.35
1470.05,11.43,42,1.04,1.04,1.04,1470.05
1462.09,11.19,53.93,1.05,1.05,1.05,1462.09
1522.07,11.48,48.49,1.04,1.04,1.04,1522.07
1504.42,11.79,42.5,1.05,1.05,1.05,1504.42
1474.85,11.04,43.29,1.03,1.03,1.03,1474.85
1381.91,10.43,48.08,1.02,1.02,1.02,1381.91
1367.64,10.21,49.08,1.02,1.02,1.02,1367.64
1377.27,10.32,48.99,1.02,1.02,1.02,1377.27
1404.11,10.54,60.12,1.02,1.02,1.02,1404.11
1350.66,10.16,51.29,1.02,1.02,1.02,1350.66
1349.24,9.94,48.16,1.01,1.01,1.01,1349.24
1319.8,9.74,52.25,1.01,1.01,1.01,1319.8
1429.52,10.53,56.42,1.02,1.02,1.02,1429.52
1448.48,10.71,57.19,1.02,1.02,1.02,1448.48
1409.96,10.33,55.76,1.02,1.02,1.02,1409.96
1521.61,12.05,61.68,1.06,1.06,1.06,1521.61
1512.73,11.62,59.8,1.04,1.04,1.04,1512.73
1477.55,10.74,52.35,1.02,1.02,1.02,1477.55
1511.29,11.18,53.22,1.02,1.02,1.02,1511.29
1522.37,11.57,53.89,1.04,1.04,1.04,1522.37
1531.61,11.75,48.09,1.05,1.05,1.05,1531.61
1509.51,11.43,44.89,1.04,1.04,1.04,1509.51
1500.73,11.13,43.06,1.03,1.03,1.03,1500.73
1507.76,11.23,44.9,1.04,1.04,1.04,1507.76
1467.65,10.82,46.59,1.03,1.03,1.03,1467.65
1516.53,11.36,47.13,1.03,1.03,1.03,1516.53
1508.75,11.14,41.63,1.04,1.04,1.04,1508.75
1490.34,11,41.62,1.03,1.03,1.03,1490.34
1481.3,11.04,42.79,1.03,1.03,1.03,1481.3
1489.68,11.12,48.52,1.03,1.03,1.03,1489.68
1530.56,11.72,52.29,1.05,1.05,1.05,1530.56
1521.49,11.54,48.81,1.05,1.05,1.05,1521.49
1500.41,11.22,50.22,1.04,1.04,1.04,1500.41
1538.8,11.57,52.23,1.05,1.05,1.05,1538.8
1531.15,12.02,50.52,1.06,1.06,1.06,1531.15
1523.27,11.48,48.08,1.05,1.05,1.05,1523.27
1526.9,11.86,51.69,1.06,1.06,1.06,1526.9
1512.64,11.19,51.69,1.04,1.04,1.04,1512.64
1537.23,11.65,51.69,1.05,1.05,1.05,1537.23
1502.47,11.11,51.69,1.04,1.04,1.04,1502.47
1460.61,11.24,54.2,1.05,1.05,1.05,1460.61
1383.62,10.67,52.88,1.03,1.03,1.03,1383.62
1505.49,11.79,51.67,1.05,1.05,1.05,1505.49
1543.06,12.61,51.65,1.08,1.08,1.08,1543.06
1519.69,11.67,51.65,1.06,1.06,1.06,1519.69
1531.22,11.74,51.65,1.06,1.06,1.06,1531.22
1513.98,11.61,51.65,1.06,1.06,1.06,1513.98
1527.65,12.15,51.65,1.08,1.08,1.08,1527.65
1526.19,12.07,51.65,1.07,1.07,1.07,1526.19
1540.86,12.41,51.65,1.08,1.08,1.08,1540.86
1524.33,12.74,51.65,1.09,1.09,1.09,1524.33
1542.36,12.71,51.65,1.09,1.09,1.09,1542.36
1549.43,13.24,51.65,1.1,1.1,1.1,1549.43
1549.28,12.56,51.65,1.08,1.08,1.08,1549.28
1546.3,12.33,51.65,1.07,1.07,1.07,1546.3
1539.95,12.41,51.65,1.07,1.07,1.07,1539.95
1541.38,12,45.84,1.06,1.06,1.06,1541.38
1487.43,10.35,40.95,1.01,1.01,1.01,1487.43
1408.76,9.85,39.97,1,1,1,1408.76
1332.42,9.48,33.32,1,1,1,1332.42
1516.19,10.45,33.32,1.01,1.01,1.01,1516.19
1545.16,11.09,33.32,1.04,1.04,1.04,1545.16
1433.15,10.22,29.38,1,1,1,1433.15
1522.86,10.65,31.36,1.02,1.02,1.02,1522.86
1507.72,10.8,25.74,1.02,1.02,1.02,1507.72
1530.63,11.68,25.69,1.06,1.06,1.06,1530.63
1529.87,11.68,26.07,1.06,1.06,1.06,1529.87
1528.03,11.92,33.35,1.07,1.07,1.07,1528.03
1516.26,12.31,33.35,1.08,1.08,1.08,1516.26
1508.51,12.38,33.35,1.08,1.08,1.08,1508.51
1522.04,13.24,33.35,1.09,1.09,1.09,1522.04
1541.77,13.33,23.18,1.1,1.1,1.1,1541.77
1538.77,13.27,22.64,1.1,1.1,1.1,1538.77
1544.76,13.18,22.64,1.1,1.1,1.1,1544.76
1548.32,12.75,22.64,1.09,1.09,1.09,1548.32
1543.95,12.58,22.64,1.09,1.09,1.09,1543.95
1549.95,12.95,22.64,1.09,1.09,1.09,1549.95
1549.37,12.83,22.64,1.09,1.09,1.09,1549.37
1541.74,12.53,22.64,1.09,1.09,1.09,1541.74
1548.14,12.41,22.64,1.08,1.08,1.08,1548.14
1534.34,12.19,22.64,1.08,1.08,1.08,1534.34
1542.27,12.51,22.64,1.09,1.09,1.09,1542.27
1544.26,12.33,22.64,1.08,1.08,1.08,1544.26
1536.76,11.91,22.64,1.08,1.08,1.08,1536.76
1541.44,12.24,22.64,1.08,1.08,1.08,1541.44
1519.26,11.98,22.64,1.07,1.07,1.07,1519.26
1534.93,11.53,22.64,1.06,1.06,1.06,1534.93
1537.44,11.33,22.64,1.05,1.05,1.05,1537.44
1513.67,11.77,22.64,1.07,1.07,1.07,1513.67
1524.67,11.5,22.64,1.06,1.06,1.06,1524.67
1519.99,11.24,22.64,1.06,1.06,1.06,1519.99
1535.97,11.21,22.64,1.05,1.05,1.05,1535.97
1451.01,11.55,22.64,1.07,1.07,1.07,1451.01
1544.67,11.55,22.64,1.06,1.06,1.06,1544.67
1531.91,11.77,22.64,1.07,1.07,1.07,1531.91
1546.11,11.73,22.64,1.07,1.07,1.07,1546.11
1531.58,12.02,22.64,1.07,1.07,1.07,1531.58
1529.86,12.54,22.64,1.09,1.09,1.09,1529.86
1532.37,12.13,22.64,1.08,1.08,1.08,1532.37
1502.28,12.27,22.64,1.08,1.08,1.08,1502.28
1532.38,12.29,22.64,1.08,1.08,1.08,1532.38
1530.89,12.3,22.64,1.08,1.08,1.08,1530.89
1512.48,12.2,22.64,1.08,1.08,1.08,1512.48
1533.52,12.47,22.64,1.08,1.08,1.08,1533.52
1500,11.57,32.3,1.06,1.06,1.06,1500
1534.57,11.35,33.35,1.06,1.06,1.06,1534.57
1491.23,11.05,33.35,1.05,1.05,1.05,1491.23
1465.61,11.28,33.4,1.06,1.06,1.06,1465.61
1465.49,11.02,40.98,1.05,1.05,1.05,1465.49
1519.31,11.07,41.01,1.04,1.04,1.04,1519.31
1507.73,11.37,37.68,1.06,1.06,1.06,1507.73
1510.99,11.89,38.79,1.07,1.07,1.07,1510.99
1528.67,12.66,41.28,1.09,1.09,1.09,1528.67
1504.16,12.66,41.29,1.09,1.09,1.09,1504.16
1510.82,11.27,39.52,1.05,1.05,1.05,1510.82
737.9,11.01,40.98,1.42,1.42,1.42,737.9
1549.66,12.51,40.98,1.08,1.08,1.08,1549.66
1549.27,12.01,40.62,1.07,1.07,1.07,1549.27
1549.99,12.72,41.13,1.09,1.09,1.09,1549.99
1549.33,12.47,43.18,1.08,1.08,1.08,1549.33
1542.44,12.25,40.18,1.07,1.07,1.07,1542.44
1547.11,12.03,39.62,1.06,1.06,1.06,1547.11
1534.13,12.12,41.66,1.07,1.07,1.07,1534.13
1540.59,12.59,46.08,1.08,1.08,1.08,1540.59
1527.62,11.79,40.38,1.06,1.06,1.06,1527.62
1549.75,12.39,45.43,1.07,1.07,1.07,1549.75
1542.67,12.15,49.13,1.06,1.06,1.06,1542.67
1534.5,12.36,41.58,1.07,1.07,1.07,1534.5
1542.86,12.73,42.04,1.08,1.08,1.08,1542.86
