Patv,Wspd,Wdir,Etmp,Itmp,Ndir,Pab1,Pab2,Pab3,Prtv
1508.74,10.57,0.52,22.69,37.49,11.32,1.02,1.02,1.02,-0.23
1447.87,10.26,4.64,22.63,37.57,11.7,1.01,1.01,1.01,-0.2
1470.05,10.39,2.76,22.65,37.56,18.96,1.01,1.01,1.01,-0.24
1525.7,11.57,2.71,22.79,37.59,23.78,1.05,1.05,1.05,-0.27
1549.72,12.56,5.06,22.99,37.59,26.67,1.08,1.08,1.08,-0.24
1549.49,12.47,6.66,22.95,37.48,26.67,1.08,1.08,1.08,-0.21
1542.6,12.03,5.23,22.94,37.4,26.67,1.07,1.07,1.07,-0.25
1536.99,11.5,1.34,22.91,37.4,30,1.06,1.06,1.06,-0.26
1507.73,11.02,1.38,22.97,37.48,30.53,1.04,1.04,1.04,-0.24
1507.68,11.11,-4.1,22.95,37.51,34.7,1.04,1.04,1.04,-0.25
1529.69,11.09,-4.09,22.89,37.48,34.71,1.04,1.04,1.04,-0.24
1473.63,10.42,-1.96,22.81,37.64,34.71,1.02,1.02,1.02,-0.23
1522.32,10.74,-1.68,22.84,37.71,34.71,1.03,1.03,1.03,-0.19
1461.12,10.27,-1.14,22.9,37.77,34.71,1.02,1.02,1.02,-0.21
1345.22,9.46,0.47,22.88,37.67,34.71,1,1,1,-0.23
1436.2,10.03,2.06,22.9,37.73,34.71,1.01,1.01,1.01,-0.22
1419.69,10.09,3.02,22.9,37.74,34.71,1.01,1.01,1.01,-0.24
1481.26,10.36,1.18,22.9,37.76,34.71,1.02,1.02,1.02,-0.26
1491.6,10.55,0.72,22.9,37.74,34.71,1.02,1.02,1.02,-0.29
1425.98,10.02,1.13,22.9,37.63,39.77,1.01,1.01,1.01,-0.26
